dist.del reg. [m],a sold.aguas arriba [m],no.de junta,long. de junta [m],esp. [mm],evento / comentario,tipo de sold.,Pos.horaria,pared int.,dim_o,d [%],h [%],Ovality ratio,h [arruga/ond.] [mm],largo [mm],ancho [mm],ERF B31G,Junta No. Full,latitud,longitud
0.000,,20,,,"Válvula  / Batería 4 Campo Quifa, válvula de bola",,,,,,,,,,,,20,3.782208,-71.450698
0.590,,30,0.651,12.22,Soldadura,,,,,,,,,,,,30,3.782203165,-71.45070079
0.939,,,,,"Te  / 16""",,9:00,,,,,,,,,,30,3.782200305,-71.45070245
1.242,,40,11.817,9.65,Soldadura  / Cambio de espesor  / EN = 9.65 mm,sin costura,,,,,,,,,,,40,3.782197822,-71.45070388
7.662,,,,,Soporte externo,,6:00,,,,,,,,,,40,3.78214521,-71.45073429
9.927,,,,,Magneto,,0:00,,,,,,,,,,40,3.782126648,-71.45074502
10.893,-9.651,,,,Anomalía  / Corrosión  / nota 1,,9:04,EXT,PITT,10,,,,19,21,0.43,40,3.782118731,-71.45074959
11.039,,,,,Reparación  / Inicio funda soldada,,,,,,,,,,,,40,3.782117534,-71.45075029
11.299,-10.057,,,,Anomalía  / Reparada  / bajo funda,,1:17,N/A,,,,,,16,23,,40,3.782115403,-71.45075152
12.320,,,,,Reparación  / Fin funda soldada,,,,,,,,,,,,40,3.782107036,-71.45075635
13.059,,50,8.933,9.65,Soldadura,sin costura,,,,,,,,,,,50,3.782100979,-71.45075985
15.418,,,,,Reparación  / Inicio funda soldada,,,,,,,,,,,,50,3.782081646,-71.45077102
15.899,,,,,Reparación  / Fin funda soldada,,,,,,,,,,,,50,3.782077704,-71.4507733
18.986,-5.927,,,,Anomalía  / Corrosión,,5:40,EXT,CIGR,12,,,,17,37,0.43,50,3.782052405,-71.45078792
19.010,-5.951,,,,Anomalía  / Corrosión,,7:07,EXT,PITT,11,,,,19,25,0.43,50,3.782052208,-71.45078804
19.087,-6.028,,,,Anomalía  / Corrosión,,6:05,EXT,PITT,13,,,,14,25,0.43,50,3.782051577,-71.4507884
19.108,-6.049,,,,Anomalía  / Corrosión,,7:01,EXT,PITT,14,,,,26,34,0.43,50,3.782051405,-71.4507885
19.254,,,,,Reparación  / Inicio funda soldada,,,,,,,,,,,,50,3.782050209,-71.45078919
19.490,-6.431,,,,Anomalía  / Reparada  / bajo funda,,5:17,N/A,,,,,,33,15,,50,3.782048275,-71.45079031
19.499,-6.44,,,,Anomalía  / Reparada  / bajo funda,,6:07,N/A,,,,,,26,37,,50,3.782048201,-71.45079035
