distancia_m,profundidad_mm,corrida_ILI,tipo_defecto,largo,ancho,latitud,longitud,posicion_horaria_hh_mm,tipo_anomalia,posicion_pared,reduccion_diametro_o_deformacion_porcentaje,comentarios,junta_anterior_m,junta_posterior_m,estado_A_I_R
10.893,1.8,ROSEN_2019,PITT,19,21,3.782118731,-71.45074959,12:00,corrosion,EXT,na,na,3,9,A
18.986,1.4,ROSEN_2019,Circumferential Grooving,17,37,3.782052405,-71.45078792,13:00,corrosion,EXT,na,na,3,9,A
19.01,1.1,ROSEN_2019,Pitting,19,25,3.782052208,-71.45078804,14:00,corrosion,EXT,na,na,3,9,A
19.087,1.4,ROSEN_2019,Pitting,14,25,3.782051577,-71.4507884,15:00,corrosion,EXT,na,na,3,9,A
19.108,1.3,ROSEN_2019,Pitting,26,34,3.782051405,-71.4507885,16:00,corrosion,EXT,na,na,3,9,A
144.717,1.8,ROSEN_2019,Pitting,11,15,3.780956222,-71.45123219,17:00,corrosion,EXT,na,na,3,9,A
620.017,1.4,ROSEN_2019,Pitting,37,26,3.776847244,-71.4530202,18:00,corrosion,EXT,na,na,3,9,A
620.689,1.4,ROSEN_2019,Pitting,39,23,3.77684128,-71.45302241,19:00,corrosion,EXT,na,na,3,9,A
621.989,2,ROSEN_2019,Pitting,22,30,3.776829741,-71.45302668,20:00,corrosion,EXT,na,na,3,9,A
622.873,1.9,ROSEN_2019,General,31,44,3.776821894,-71.45302959,21:00,corrosion,EXT,na,na,3,9,A
625.497,1.9,ROSEN_2019,Pitting,21,31,3.776798604,-71.45303821,22:00,corrosion,EXT,na,na,3,9,A
629.142,1.1,ROSEN_2019,Pitting,21,30,3.776766251,-71.4530502,23:00,corrosion,EXT,na,na,3,9,A
637.175,1,ROSEN_2019,Pitting,27,31,3.776694953,-71.45307662,0:00,corrosion,EXT,na,na,3,9,A
637.368,1,ROSEN_2019,Axial Grooving,54,15,3.77669324,-71.45307725,1:00,corrosion,EXT,na,na,3,9,A
637.501,1.9,ROSEN_2019,Axial Grooving,52,15,3.776692059,-71.45307769,2:00,corrosion,EXT,na,na,3,9,A
638.408,1.4,ROSEN_2019,General,45,46,3.776684009,-71.45308067,3:00,corrosion,EXT,na,na,3,9,A
639.104,1.6,ROSEN_2019,Pitting,20,27,3.776677832,-71.45308296,4:00,corrosion,EXT,na,na,3,9,A
