distancia_inicio_m,distancia_fin_m,junta,lat,lon,altura_m,diametro,espesor,SMYS,longitud_tubo_m,tipo_costura
0.59,13.059,GW10,3.782203165,-71.45070079,500,460,6.35,42000,12,
13.059,21.992,GW20,3.782100979,-71.45075985,499.5,460,6.35,42000,12,
21.992,26.882,GW30,3.782027771,-71.45080216,499,460,6.35,42000,12,
26.882,37.199,GW40,3.781987697,-71.45082532,498.5,460,6.35,42000,12,
37.199,46.839,GW50,3.781903144,-71.45087418,498,460,6.35,42000,12,
46.839,58.832,GW60,3.781824144,-71.45091984,497.5,460,6.35,42000,12,
58.832,70.813,GW70,3.78172586,-71.45097665,497,460,6.35,42000,12,
70.813,82.8,GW80,3.781625018,-71.4510279,496.5,460,6.35,42000,12,
82.8,84.853,GW90,3.781517838,-71.45106489,496,460,6.35,42000,12,
84.853,96.856,GW100,3.781499275,-71.45107063,495.5,460,6.35,42000,12,
96.856,104.991,GW110,3.781390745,-71.45110424,495,460,6.35,42000,12,
104.991,116.984,GW120,3.781317187,-71.45112701,494.5,460,6.35,42000,12,
116.984,119.424,GW130,3.781208745,-71.45116057,494,460,6.35,42000,12,
119.424,131.415,GW140,3.781186682,-71.4511674,493.5,460,6.35,42000,12,
131.415,143.397,GW150,3.781077617,-71.45119878,493,460,6.35,42000,12,
143.397,155.407,GW160,3.780968269,-71.45122888,492.5,460,6.35,42000,12,
155.407,167.426,GW170,3.780858657,-71.45125902,492,460,6.35,42000,12,
167.426,178.231,GW180,3.780749022,-71.45128939,491.5,460,6.35,42000,12,
178.231,187.641,GW190,3.780650656,-71.45131739,491,460,6.35,42000,12,
187.641,197.035,GW200,3.780565048,-71.45134198,490.5,460,6.35,42000,12,
197.035,206.406,GW210,3.780479881,-71.45136753,490,460,6.35,42000,12,
206.406,217.021,GW220,3.780400755,-71.45140673,489.5,460,6.35,42000,12,
217.021,227.904,GW230,3.780313387,-71.45145635,489,460,6.35,42000,12,
227.904,240.137,GW240,3.780224059,-71.45150765,488.5,460,6.35,42000,12,
240.137,252.375,GW250,3.780123684,-71.45156538,488,460,6.35,42000,12,
252.375,264.598,GW260,3.78002327,-71.45162313,487.5,460,6.35,42000,12,
264.598,276.803,GW270,3.779922979,-71.45168081,487,460,6.35,42000,12,
276.803,289.011,GW280,3.779822833,-71.4517384,486.5,460,6.35,42000,12,
289.011,301.221,GW290,3.779722663,-71.45179601,486,460,6.35,42000,12,
301.221,313.215,GW300,3.779622553,-71.45185376,485.5,460,6.35,42000,12,
313.215,325.211,GW310,3.779524419,-71.45191084,485,460,6.35,42000,12,
325.211,331.986,GW320,3.779426242,-71.45196789,484.5,460,6.35,42000,12,
331.986,343.937,GW330,3.779370634,-71.45199983,484,460,6.35,42000,12,
343.937,355.923,GW340,3.779272167,-71.45205551,483.5,460,6.35,42000,12,
355.923,367.94,GW350,3.7791734,-71.45211134,483,460,6.35,42000,12,
367.94,380.149,GW360,3.779074702,-71.45216788,482.5,460,6.35,42000,12,
380.149,392.143,GW370,3.778973056,-71.45222279,482,460,6.35,42000,12,
392.143,404.147,GW380,3.778866835,-71.45226286,481.5,460,6.35,42000,12,
404.147,416.285,GW390,3.778760523,-71.45230296,481,460,6.35,42000,12,
416.285,428.477,GW400,3.778653024,-71.45234351,480.5,460,6.35,42000,12,
428.477,440.462,GW410,3.778544975,-71.45238404,480,460,6.35,42000,12,
440.462,452.145,GW420,3.778438697,-71.45242372,479.5,460,6.35,42000,12,
452.145,464.334,GW430,3.778335098,-71.4524624,479,460,6.35,42000,12,
464.334,476.526,GW440,3.77822701,-71.45250275,478.5,460,6.35,42000,12,
476.526,488.537,GW450,3.778118898,-71.45254311,478,460,6.35,42000,12,
488.537,490.607,GW460,3.77801239,-71.45258288,477.5,460,6.35,42000,12,
490.607,502.79,GW470,3.777994034,-71.45258973,477,460,6.35,42000,12,
502.79,514.967,GW480,3.777886038,-71.45263017,476.5,460,6.35,42000,12,
514.967,527.136,GW490,3.777778161,-71.45267076,476,460,6.35,42000,12,
527.136,539.293,GW500,3.77767036,-71.45271133,475.5,460,6.35,42000,12,
539.293,551.269,GW510,3.777562664,-71.45275187,475,460,6.35,42000,12,
551.269,554.265,GW520,3.77745657,-71.45279179,474.5,460,6.35,42000,12,
554.265,566.443,GW530,3.77743003,-71.45280178,474,460,6.35,42000,12,
566.443,578.441,GW540,3.777322149,-71.45284239,473.5,460,6.35,42000,12,
578.441,581.16,GW550,3.77721586,-71.45288239,473,460,6.35,42000,12,
581.16,593.344,GW560,3.777191773,-71.45289145,472.5,460,6.35,42000,12,
593.344,605.52,GW570,3.77708384,-71.45293208,472,460,6.35,42000,12,
605.52,617.504,GW580,3.776975901,-71.45297248,471.5,460,6.35,42000,12,
617.504,629.511,GW590,3.77686955,-71.45301193,471,460,6.35,42000,12,
629.511,641.507,GW600,3.776762976,-71.45305141,470.5,460,6.35,42000,12,
641.507,653.409,GW610,3.776656503,-71.45309087,470,460,6.35,42000,12,
653.409,657.688,GW620,3.776550865,-71.45313001,469.5,460,6.35,42000,12,
657.688,669.692,GW630,3.7765131,-71.45314464,469,460,6.35,42000,12,
669.692,681.723,GW640,3.776407606,-71.45318684,468.5,460,6.35,42000,12,
681.723,693.875,GW650,3.776301896,-71.45322919,468,460,6.35,42000,12,
