distancia_m,profundidad_mm,corrida_ILI,tipo_defecto,largo,ancho,latitud,longitud,posicion_horaria_hh_mm,tipo_anomalia,posicion_pared,reduccion_diametro_o_deformacion_porcentaje,comentarios,junta_anterior_m,junta_posterior_m,estado_A_I_R
6.214,1.0483,ROSEN2013,GENE,86,53,5.4161923,-72.29449954,12:00,Corrosión,EXT,0,indicaciones adicionales,1.734,7.982,A
6.214,1.1436,ROSEN2013,GENE,106,148,5.4161923,-72.29449954,13:00,Agrup.de Corrosión,EXT,0,indicaciones adicionales,1.734,7.982,A
6.236,1.1436,ROSEN2013,GENE,84,73,5.41619229,-72.29449973,14:00,Corrosión,EXT,0,indicaciones adicionales,1.734,7.982,A
35.587,0.953,ROSEN2013,CIGR,73,52,5.41617586,-72.29476204,15:00,Agrup.de Corrosión,EXT,0,indicaciones adicionales,32.028,43.971,A
35.587,0.953,ROSEN2013,CIGR,22,52,5.41617586,-72.29476204,16:00,Corrosión,EXT,0,indicaciones adicionales,32.028,43.971,A
35.64,0.953,ROSEN2013,CISL,20,32,5.41617584,-72.29476252,17:00,Corrosión,EXT,0,indicaciones adicionales,32.028,43.971,A
40.844,0.953,ROSEN2013,PITT,23,35,5.4161735,-72.29480935,18:00,Corrosión,EXT,0,indicaciones adicionales,32.028,43.971,A
41.224,1.4295,ROSEN2013,PITT,43,27,5.41617332,-72.29481276,19:00,Corrosión,EXT,0,indicaciones adicionales,32.028,43.971,A
48.783,1.0483,ROSEN2013,PITT,36,18,5.41616982,-72.29488077,20:00,Corrosión,EXT,0,indicaciones adicionales,43.971,56.04,A
51.152,1.2389,ROSEN2013,AXGR,86,18,5.41616871,-72.29490208,21:00,Corrosión,EXT,0,indicaciones adicionales,43.971,56.04,A
51.761,1.1436,ROSEN2013,PITT,72,33,5.41616843,-72.29490756,22:00,Corrosión,EXT,0,indicaciones adicionales,43.971,56.04,A
64.902,0.953,ROSEN2013,PITT,34,20,5.41616276,-72.29502583,23:00,Corrosión,EXT,0,indicaciones adicionales,56.04,68.11,A
65.044,1.6201,ROSEN2013,GENE,66,45,5.4161627,-72.29502711,0:00,Corrosión,EXT,0,indicaciones adicionales,56.04,68.11,A
65.257,1.0483,ROSEN2013,PITT,24,18,5.41616262,-72.29502902,1:00,Corrosión,EXT,0,indicaciones adicionales,56.04,68.11,A
79.034,1.2389,ROSEN2013,CISL,19,18,5.41615825,-72.29515307,2:00,Corrosión,EXT,0,indicaciones adicionales,68.11,80.162,A
85.083,2.1919,ROSEN2013,PITT,55,56,5.4161568,-72.29520754,3:00,Corrosión,EXT,0,indicaciones adicionales,80.162,92.397,A
96.84,1.1436,ROSEN2013,PITT,37,25,5.41615478,-72.29531343,4:00,Corrosión,EXT,0,indicaciones adicionales,93.827,105.984,A
98.321,1.1436,ROSEN2013,PITT,39,22,5.41615459,-72.29532677,5:00,Corrosión,EXT,0,indicaciones adicionales,93.827,105.984,A
98.321,1.1436,ROSEN2013,PITT,122,64,5.41615459,-72.29532677,6:00,Agrup.de Corrosión,EXT,0,indicaciones adicionales,93.827,105.984,A
98.373,1.0483,ROSEN2013,GENE,70,64,5.41615458,-72.29532724,7:00,Corrosión,EXT,0,indicaciones adicionales,93.827,105.984,A
99.261,1.3342,ROSEN2013,PITT,126,31,5.41615449,-72.29533523,8:00,Agrup.de Corrosión,EXT,0,indicaciones adicionales,93.827,105.984,A
99.261,1.3342,ROSEN2013,PITT,25,22,5.41615449,-72.29533523,9:00,Corrosión,EXT,0,indicaciones adicionales,93.827,105.984,A
99.328,1.1436,ROSEN2013,AXGR,59,20,5.41615448,-72.29533584,10:00,Corrosión,EXT,0,indicaciones adicionales,93.827,105.984,A
99.482,1.0483,ROSEN2013,PITT,94,39,5.41615447,-72.29533722,11:00,Agrup.de Corrosión,EXT,0,indicaciones adicionales,93.827,105.984,A
99.482,1.0483,ROSEN2013,PITT,57,37,5.41615447,-72.29533722,12:00,Corrosión,EXT,0,indicaciones adicionales,93.827,105.984,A
99.555,1.0483,ROSEN2013,PITT,21,19,5.41615446,-72.29533788,13:00,Corrosión,EXT,0,indicaciones adicionales,93.827,105.984,A
99.698,1.1436,ROSEN2013,PITT,33,34,5.41615444,-72.29533917,14:00,Corrosión,EXT,0,indicaciones adicionales,93.827,105.984,A
100.193,1.0483,ROSEN2013,PITT,137,44,5.41615439,-72.29534363,15:00,Agrup.de Corrosión,EXT,0,indicaciones adicionales,93.827,105.984,A
100.193,1.0483,ROSEN2013,PITT,52,31,5.41615439,-72.29534363,16:00,Corrosión,EXT,0,indicaciones adicionales,93.827,105.984,A
100.256,1.0483,ROSEN2013,PITT,74,32,5.41615438,-72.29534419,17:00,Corrosión,EXT,0,indicaciones adicionales,93.827,105.984,A
102.001,1.1436,ROSEN2013,PITT,50,38,5.41615421,-72.29535991,18:00,Corrosión,EXT,0,indicaciones adicionales,93.827,105.984,A
102.258,1.0483,ROSEN2013,AXGR,57,18,5.41615419,-72.29536222,19:00,Corrosión,EXT,0,indicaciones adicionales,93.827,105.984,A
102.56,1.0483,ROSEN2013,PITT,23,22,5.41615416,-72.29536494,20:00,Corrosión,EXT,0,indicaciones adicionales,93.827,105.984,A
102.805,1.2389,ROSEN2013,PITT,38,18,5.41615414,-72.29536715,21:00,Corrosión,EXT,0,indicaciones adicionales,93.827,105.984,A
102.929,1.0483,ROSEN2013,GENE,77,56,5.41615413,-72.29536826,22:00,Corrosión,EXT,0,indicaciones adicionales,93.827,105.984,A
103.464,1.3342,ROSEN2013,PITT,45,19,5.41615408,-72.29537308,23:00,Corrosión,EXT,0,indicaciones adicionales,93.827,105.984,A
103.489,1.0483,ROSEN2013,PITT,21,18,5.41615408,-72.29537331,0:00,Corrosión,EXT,0,indicaciones adicionales,93.827,105.984,A
103.805,1.0483,ROSEN2013,PITT,28,24,5.41615405,-72.29537615,1:00,Corrosión,EXT,0,indicaciones adicionales,93.827,105.984,A
104.003,1.0483,ROSEN2013,PITT,26,18,5.41615404,-72.29537793,2:00,Corrosión,EXT,0,indicaciones adicionales,93.827,105.984,A
104.251,0.953,ROSEN2013,PITT,34,31,5.41615402,-72.29538017,3:00,Corrosión,EXT,0,indicaciones adicionales,93.827,105.984,A
104.41,1.1436,ROSEN2013,PITT,35,19,5.41615401,-72.2953816,4:00,Corrosión,EXT,0,indicaciones adicionales,93.827,105.984,A
104.613,1.1436,ROSEN2013,PITT,28,18,5.41615399,-72.29538342,5:00,Corrosión,EXT,0,indicaciones adicionales,93.827,105.984,A
104.87,1.1436,ROSEN2013,PITT,104,22,5.41615397,-72.29538574,6:00,Agrup.de Corrosión,EXT,0,indicaciones adicionales,93.827,105.984,A
104.87,1.1436,ROSEN2013,PITT,29,20,5.41615397,-72.29538574,7:00,Corrosión,EXT,0,indicaciones adicionales,93.827,105.984,A
104.946,1.1436,ROSEN2013,PITT,28,20,5.41615396,-72.29538642,8:00,Corrosión,EXT,0,indicaciones adicionales,93.827,105.984,A
105.268,0.953,ROSEN2013,PITT,35,18,5.41615393,-72.29538932,9:00,Corrosión,EXT,0,indicaciones adicionales,93.827,105.984,A
105.376,0.953,ROSEN2013,PITT,39,30,5.41615393,-72.29539029,10:00,Corrosión,EXT,0,indicaciones adicionales,93.827,105.984,A
105.566,0.953,ROSEN2013,PITT,30,18,5.41615391,-72.295392,11:00,Corrosión,EXT,0,indicaciones adicionales,93.827,105.984,A
121.176,1.4295,ROSEN2013,PITT,63,32,5.41615284,-72.29553252,12:00,Corrosión,EXT,0,indicaciones adicionales,118.199,130.335,A
126.912,1.0483,ROSEN2013,AXGR,66,18,5.41615239,-72.29558419,13:00,Corrosión,EXT,0,indicaciones adicionales,118.199,130.335,A
138.815,1.0483,ROSEN2013,PITT,25,25,5.41615141,-72.29569144,14:00,Corrosión,EXT,0,indicaciones adicionales,130.335,142.513,A
153.756,1.1436,ROSEN2013,PITT,32,20,5.41614966,-72.29582605,15:00,Corrosión,EXT,0,indicaciones adicionales,142.513,154.71,A
170.084,0.953,ROSEN2013,PITT,33,18,5.41614561,-72.2959731,16:00,Corrosión,EXT,0,indicaciones adicionales,166.491,178.582,A
171.763,1.0483,ROSEN2013,PITT,56,28,5.41614508,-72.29598822,17:00,Corrosión,EXT,0,indicaciones adicionales,166.491,178.582,A
177.831,1.0483,ROSEN2013,PITT,32,18,5.41614273,-72.29604283,18:00,Corrosión,EXT,0,indicaciones adicionales,166.491,178.582,A
180.529,1.2389,ROSEN2013,CISL,19,18,5.41614156,-72.29606711,19:00,Corrosión,EXT,0,indicaciones adicionales,178.582,189.085,A
182.513,1.0483,ROSEN2013,CISL,17,18,5.41614065,-72.29608496,20:00,Corrosión,EXT,0,indicaciones adicionales,178.582,189.085,A
206.126,1.1436,ROSEN2013,AXGR,61,18,5.41612872,-72.29629713,21:00,Corrosión,EXT,0,indicaciones adicionales,201.148,207.135,A
253.527,1.2389,ROSEN2013,CISL,13,18,5.41610359,-72.29672028,22:00,Corrosión,EXT,0,indicaciones adicionales,243.354,255.431,A
253.641,1.2389,ROSEN2013,PITT,72,20,5.41610352,-72.2967213,23:00,Agrup.de Corrosión,EXT,0,indicaciones adicionales,243.354,255.431,A
253.641,0.953,ROSEN2013,AXGR,52,19,5.41610352,-72.2967213,0:00,Corrosión,EXT,0,indicaciones adicionales,243.354,255.431,A
253.686,1.2389,ROSEN2013,PITT,27,18,5.41610349,-72.29672171,1:00,Corrosión,EXT,0,indicaciones adicionales,243.354,255.431,A
253.868,1.0483,ROSEN2013,PITT,31,29,5.41610338,-72.29672335,2:00,Corrosión,EXT,0,indicaciones adicionales,243.354,255.431,A
379.089,0.953,ROSEN2013,CISL,12,18,5.41599796,-72.29784386,3:00,Corrosión,EXT,0,indicaciones adicionales,367.032,379.196,A
551.5,0.953,ROSEN2013,AXGR,64,19,5.41566972,-72.2993622,4:00,Corrosión,EXT,0,indicaciones adicionales,545.703,557.78,A
554.742,1.0483,ROSEN2013,AXGR,67,20,5.41566356,-72.29939076,5:00,Corrosión,EXT,0,indicaciones adicionales,545.703,557.78,A
554.905,1.1436,ROSEN2013,PITT,64,40,5.41566325,-72.29939219,6:00,Corrosión,EXT,0,indicaciones adicionales,545.703,557.78,A
566.75,1.0483,ROSEN2013,PITT,32,34,5.41564033,-72.29949644,7:00,Corrosión,EXT,0,indicaciones adicionales,557.78,569.928,A
567.038,1.1436,ROSEN2013,CISL,17,23,5.41563977,-72.29949898,8:00,Corrosión,EXT,0,indicaciones adicionales,557.78,569.928,A
567.19,1.0483,ROSEN2013,GENE,73,53,5.41563948,-72.29950031,9:00,Corrosión,EXT,0,indicaciones adicionales,557.78,569.928,A
567.19,1.0483,ROSEN2013,GENE,204,53,5.41563948,-72.29950031,10:00,Agrup.de Corrosión,EXT,0,indicaciones adicionales,557.78,569.928,A
567.315,1.0483,ROSEN2013,PITT,79,38,5.41563924,-72.29950141,11:00,Corrosión,EXT,0,indicaciones adicionales,557.78,569.928,A
602.46,1.0483,ROSEN2013,PITT,34,32,5.41556923,-72.29981026,12:00,Corrosión,EXT,0,indicaciones adicionales,594,606.196,A
602.63,1.1436,ROSEN2013,PITT,55,34,5.41556889,-72.29981176,13:00,Agrup.de Corrosión,EXT,0,indicaciones adicionales,594,606.196,A
602.63,1.1436,ROSEN2013,PITT,25,28,5.41556889,-72.29981176,14:00,Corrosión,EXT,0,indicaciones adicionales,594,606.196,A
602.657,0.953,ROSEN2013,PITT,28,18,5.41556883,-72.29981199,15:00,Corrosión,EXT,0,indicaciones adicionales,594,606.196,A
612.854,1.1436,ROSEN2013,PITT,74,31,5.41554856,-72.29990162,16:00,Corrosión,EXT,0,indicaciones adicionales,606.196,618.334,A
613.69,1.0483,ROSEN2013,PITT,49,19,5.41554691,-72.29990896,17:00,Corrosión,EXT,0,indicaciones adicionales,606.196,618.334,A
614.598,1.1436,ROSEN2013,PITT,22,19,5.41554511,-72.29991695,18:00,Corrosión,EXT,0,indicaciones adicionales,606.196,618.334,A
617.111,1.0483,ROSEN2013,AXGR,84,18,5.41554014,-72.29993904,19:00,Corrosión,EXT,0,indicaciones adicionales,606.196,618.334,A
617.45,0.953,ROSEN2013,PITT,25,18,5.41553947,-72.29994202,20:00,Corrosión,EXT,0,indicaciones adicionales,606.196,618.334,A
617.45,1.0483,ROSEN2013,PITT,105,41,5.41553947,-72.29994202,21:00,Agrup.de Corrosión,EXT,0,indicaciones adicionales,606.196,618.334,A
617.503,1.0483,ROSEN2013,PITT,52,28,5.41553936,-72.29994248,22:00,Corrosión,EXT,0,indicaciones adicionales,606.196,618.334,A
627.55,1.0483,ROSEN2013,PITT,75,32,5.41551965,-72.30003084,23:00,Corrosión,EXT,0,indicaciones adicionales,618.334,630.502,A
631.646,1.0483,ROSEN2013,PITT,38,18,5.41551173,-72.30006689,0:00,Corrosión,EXT,0,indicaciones adicionales,630.502,642.626,A
637.297,1.0483,ROSEN2013,PITT,40,18,5.4155009,-72.30011665,1:00,Corrosión,EXT,0,indicaciones adicionales,630.502,642.626,A
641.158,1.2389,ROSEN2013,PITT,32,20,5.4154935,-72.30015064,2:00,Corrosión,EXT,0,indicaciones adicionales,630.502,642.626,A
642.13,1.0483,ROSEN2013,PITT,32,19,5.41549164,-72.3001592,3:00,Corrosión,EXT,0,indicaciones adicionales,630.502,642.626,A
1169.832,1.0483,ROSEN2013,PITT,40,39,5.41467678,-72.30483997,4:00,Corrosión,EXT,0,indicaciones adicionales,1158.392,1170.629,A
1375.99,1.0483,ROSEN2013,PITT,22,18,5.4143843,-72.30667381,5:00,Corrosión,EXT,0,indicaciones adicionales,1366.334,1378.566,A
1403.533,1.0483,ROSEN2013,CISL,18,18,5.41434344,-72.30691693,6:00,Corrosión,EXT,0,indicaciones adicionales,1403.137,1415.338,A
1422.358,1.0483,ROSEN2013,CISL,17,18,5.41431802,-72.30708419,7:00,Corrosión,EXT,0,indicaciones adicionales,1415.338,1426.768,A
1423.06,1.0483,ROSEN2013,CISL,17,18,5.41431706,-72.30709043,8:00,Corrosión,EXT,0,indicaciones adicionales,1415.338,1426.768,A
1436.025,1.1436,ROSEN2013,CISL,17,21,5.41429938,-72.30720579,9:00,Corrosión,EXT,0,indicaciones adicionales,1426.768,1438.849,A
1444.903,1.1436,ROSEN2013,CISL,17,23,5.4142869,-72.30728478,10:00,Corrosión,EXT,0,indicaciones adicionales,1438.849,1450.054,A
1464.177,1.1436,ROSEN2013,CISL,14,18,5.41425813,-72.30745601,11:00,Corrosión,EXT,0,indicaciones adicionales,1461.844,1472.765,A
1515.035,1.1436,ROSEN2013,PITT,28,29,5.41418595,-72.30790824,12:00,Corrosión,EXT,0,indicaciones adicionales,1513.697,1525.812,A
1517.946,1.1436,ROSEN2013,PITT,25,24,5.41418166,-72.30793411,13:00,Corrosión,EXT,0,indicaciones adicionales,1513.697,1525.812,A
1518.326,1.4295,ROSEN2013,PITT,23,18,5.4141811,-72.30793748,14:00,Corrosión,EXT,0,indicaciones adicionales,1513.697,1525.812,A
1676.94,1.0483,ROSEN2013,CISL,16,18,5.41395768,-72.30934879,15:00,Corrosión,EXT,0,indicaciones adicionales,1671.452,1683.581,A
2539.594,1.0483,ROSEN2013,PITT,28,37,5.41269325,-72.31703564,16:00,Corrosión,EXT,0,indicaciones adicionales,2535.021,2547.167,A
2540.288,1.0483,ROSEN2013,CISL,18,22,5.41269227,-72.31704181,17:00,Corrosión,EXT,0,indicaciones adicionales,2535.021,2547.167,A
2544.292,1.0483,ROSEN2013,PITT,25,31,5.41268656,-72.31707747,18:00,Corrosión,EXT,0,indicaciones adicionales,2535.021,2547.167,A
2544.568,1.1436,ROSEN2013,PITT,29,18,5.41268617,-72.31707993,19:00,Corrosión,EXT,0,indicaciones adicionales,2535.021,2547.167,A
2544.626,0.953,ROSEN2013,PITT,23,19,5.41268609,-72.31708045,20:00,Corrosión,EXT,0,indicaciones adicionales,2535.021,2547.167,A
2953.097,1.0483,ROSEN2013,PITT,58,22,5.41163871,-72.32061938,21:00,Corrosión,EXT,0,indicaciones adicionales,2947.928,2960.117,A
3005.3,1.524,ROSEN2013,AXSL,59,18,5.41138138,-72.32100964,22:00,Corrosión,EXT,0,indicaciones adicionales,2995.955,3008.077,A
3005.734,1.397,ROSEN2013,AXSL,28,18,5.41137891,-72.32101267,23:00,Corrosión,EXT,0,indicaciones adicionales,2995.955,3008.077,A
3037.153,1.397,ROSEN2013,PITT,32,22,5.4111967,-72.32123088,0:00,Corrosión,EXT,0,indicaciones adicionales,3028.855,3041.142,A
3353.865,1.0483,ROSEN2013,CISL,14,18,5.41037661,-72.32394989,1:00,Corrosión,EXT,0,indicaciones adicionales,3346.614,3358.768,A
3760.478,8.1005,ROSEN2013,PITT,51,119,5.40938772,-72.32749442,2:00,Corrosión,EXT,0,AP # 1,3755.779,3767.083,A
3760.709,0.953,ROSEN2013,GENE,82,60,5.40938711,-72.32749642,3:00,Corrosión,EXT,0,indicaciones adicionales,3755.779,3767.083,A
3820.339,1.5248,ROSEN2013,CIGR,27,35,5.40901068,-72.32785439,4:00,Corrosión,EXT,0,anom.de SC,3809.173,3820.355,A
3831.344,1.1436,ROSEN2013,CISL,12,18,5.40892545,-72.32790631,5:00,Corrosión,EXT,0,anom.de SC,3820.355,3831.366,A
3919.305,0.953,ROSEN2013,PITT,34,18,5.4082226,-72.32824678,6:00,Corrosión,EXT,0,indicaciones adicionales,3909.716,3919.93,A
3926.501,1.0483,ROSEN2013,GENE,63,68,5.40815732,-72.3282447,7:00,Corrosión,EXT,0,indicaciones adicionales,3919.93,3931.092,A
3949.616,1.1436,ROSEN2013,PITT,55,20,5.40794778,-72.32823546,8:00,Corrosión,EXT,0,indicaciones adicionales,3942.148,3953.415,A
4027.666,1.1436,ROSEN2013,GENE,61,47,5.4072411,-72.32818933,9:00,Corrosión,EXT,0,indicaciones adicionales,4021.283,4032.731,A
4043.997,2.3825,ROSEN2013,CISL,26,150,5.4070932,-72.32817991,10:00,Corrosión,EXT,0,anom.de SC,4043.986,4054.947,A
4123.149,1.3342,ROSEN2013,CISL,15,70,5.4063861,-72.32809731,11:00,Corrosión,EXT,0,anom.de SC,4123.127,4134.094,A
4140.726,1.1436,ROSEN2013,PITT,65,31,5.40624565,-72.32816703,12:00,Corrosión,EXT,0,indicaciones adicionales,4136.035,4147.226,A
