distancia_inicio_m,distancia_fin_m,junta,lat,lon,altura_m,diametro,espesor,SMYS,longitud_tubo_m,tipo_costura
-1.53,-0.721,GW10,5.416197222,-72.29442972,271.14,355.6,9.53,60000,0.809,ERW
-0.721,0.705,GW20,5.416196667,-72.29443722,271.134,355.6,20.66,60000,1.426,ERW
0.705,1.19,GW30,5.416195833,-72.29445,271.123,355.6,12.08,60000,0.485,ERW
1.19,1.734,GW40,5.416195556,-72.29445444,271.12,355.6,20.82,60000,0.544,ERW
1.734,7.982,GW50,5.416195,-72.29445917,271.118,355.6,9.53,60000,6.248,ERW
7.982,8.982,GW60,5.416191111,-72.29451556,271.143,355.6,12.7,60000,1.0,ERW
8.982,9.398,GW70,5.416190556,-72.29452444,271.149,355.6,22.64,60000,0.416,ERW
9.398,10.012,GW80,5.416190556,-72.29452806,271.151,355.6,12.7,60000,0.614,ERW
10.012,19.961,GW90,5.41619,-72.29453361,271.155,355.6,9.53,60000,9.949,ERW
19.961,32.028,GW100,5.416184167,-72.29462222,269.929,355.6,9.53,60000,12.067,ERW
32.028,43.971,GW110,5.4161775,-72.29473,268.785,355.6,9.53,60000,11.943,ERW
43.971,56.04,GW120,5.416171944,-72.2948375,268.6,355.6,9.53,60000,12.069,ERW
56.04,68.11,GW130,5.416166389,-72.29494611,268.364,355.6,9.53,60000,12.07,ERW
68.11,80.162,GW140,5.416161667,-72.29505472,268.251,355.6,9.53,60000,12.052,ERW
80.162,92.397,GW150,5.416158056,-72.29516333,268.012,355.6,9.53,60000,12.235,ERW
92.397,93.827,GW160,5.416155556,-72.29527333,267.775,355.6,9.53,60000,1.43,ERW
93.827,105.984,GW170,5.416155278,-72.29528639,267.733,355.6,9.53,60000,12.157,ERW
105.984,118.199,GW180,5.416153889,-72.29539583,267.298,355.6,9.53,60000,12.215,ERW
118.199,130.335,GW190,5.416153056,-72.29550583,266.729,355.6,9.53,60000,12.136,ERW
130.335,142.513,GW200,5.416152222,-72.295615,266.504,355.6,9.53,60000,12.178,ERW
142.513,154.71,GW210,5.416151111,-72.29572472,266.442,355.6,9.53,60000,12.197,ERW
154.71,166.491,GW220,5.416149444,-72.29583472,266.45,355.6,9.53,60000,11.781,ERW
166.491,178.582,GW230,5.416146667,-72.29594083,266.306,355.6,9.53,60000,12.091,ERW
178.582,189.085,GW240,5.4161425,-72.29604972,266.047,355.6,9.53,60000,10.503,ERW
189.085,201.148,GW250,5.4161375,-72.29614389,266.331,355.6,9.53,60000,12.063,ERW
201.148,207.135,GW260,5.416131667,-72.2962525,266.275,355.6,9.53,60000,5.987,ERW
207.135,219.185,GW270,5.416128056,-72.29630611,266.051,355.6,9.53,60000,12.05,ERW
219.185,231.213,GW280,5.416121389,-72.29641444,265.925,355.6,9.53,60000,12.028,ERW
231.213,243.354,GW290,5.416115,-72.29652278,266.356,355.6,9.53,60000,12.141,ERW
243.354,255.431,GW300,5.416109167,-72.29663,268.315,355.6,9.53,60000,12.077,ERW
255.431,256.463,GW310,5.4161025,-72.2967375,269.829,355.6,21.47,60000,1.032,ERW
256.463,257.458,GW320,5.416101944,-72.29674667,269.834,355.6,9.53,60000,0.995,ERW
257.458,258.881,GW330,5.416101389,-72.29675556,269.84,355.6,17.46,60000,1.423,ERW
258.881,269.812,GW340,5.416100556,-72.29676833,269.847,355.6,9.53,60000,10.931,ERW
269.812,281.969,GW350,5.416094722,-72.29686611,268.805,355.6,9.53,60000,12.157,ERW
281.969,294.158,GW360,5.416091389,-72.29697472,267.88,355.6,9.53,60000,12.189,ERW
294.158,306.138,GW370,5.416086944,-72.29708444,268.407,355.6,9.53,60000,11.98,ERW
306.138,318.131,GW380,5.416078333,-72.29719194,268.797,355.6,9.53,60000,11.993,ERW
318.131,330.402,GW390,5.41607,-72.29729972,269.046,355.6,9.53,60000,12.271,ERW
330.402,342.613,GW400,5.416061667,-72.29741,269.22,355.6,9.53,60000,12.211,ERW
342.613,354.859,GW410,5.416047222,-72.29751889,269.328,355.6,9.53,60000,12.246,ERW
354.859,367.032,GW420,5.41603,-72.29762778,269.476,355.6,9.53,60000,12.173,ERW
367.032,379.196,GW430,5.416013611,-72.29773639,269.544,355.6,9.53,60000,12.164,ERW
379.196,391.343,GW440,5.415997778,-72.29784472,269.53,355.6,9.53,60000,12.147,ERW
391.343,403.483,GW450,5.415976667,-72.29795222,269.295,355.6,9.53,60000,12.14,ERW
403.483,415.766,GW460,5.415953056,-72.29805889,269.255,355.6,9.53,60000,12.283,ERW
415.766,427.959,GW470,5.415929444,-72.29816722,269.084,355.6,9.53,60000,12.193,ERW
427.959,440.095,GW480,5.415906389,-72.29827444,269.032,355.6,9.53,60000,12.136,ERW
440.095,452.258,GW490,5.415882778,-72.29838139,268.826,355.6,9.53,60000,12.163,ERW
452.258,464.447,GW500,5.415858889,-72.29848833,268.692,355.6,9.53,60000,12.189,ERW
464.447,476.657,GW510,5.415835278,-72.29859556,268.514,355.6,9.53,60000,12.21,ERW
476.657,488.86,GW520,5.415812222,-72.29870306,268.256,355.6,9.53,60000,12.203,ERW
488.86,499.944,GW530,5.415789167,-72.29881056,268.021,355.6,9.53,60000,11.084,ERW
499.944,512.214,GW540,5.415768056,-72.29890833,267.894,355.6,9.53,60000,12.27,ERW
512.214,524.399,GW550,5.415744722,-72.29901611,267.622,355.6,9.53,60000,12.185,ERW
524.399,535.491,GW560,5.415721389,-72.29912361,267.435,355.6,9.53,60000,11.092,ERW
535.491,545.703,GW570,5.4157,-72.29922111,267.303,355.6,9.53,60000,10.212,ERW
545.703,557.78,GW580,5.415680556,-72.29931111,267.149,355.6,9.53,60000,12.077,ERW
557.78,569.928,GW590,5.415657778,-72.2994175,267.08,355.6,9.53,60000,12.148,ERW
569.928,582.079,GW600,5.415634167,-72.29952444,266.976,355.6,9.53,60000,12.151,ERW
582.079,594.0,GW610,5.41561,-72.29963111,266.824,355.6,9.53,60000,11.921,ERW
594.0,606.196,GW620,5.415586111,-72.29973583,266.634,355.6,9.53,60000,12.196,ERW
606.196,618.334,GW630,5.415561667,-72.29984306,266.623,355.6,9.53,60000,12.138,ERW
618.334,630.502,GW640,5.415537778,-72.29994972,266.476,355.6,9.53,60000,12.168,ERW
630.502,642.626,GW650,5.415513889,-72.30005694,266.34,355.6,9.53,60000,12.124,ERW
642.626,654.786,GW660,5.415490556,-72.30016361,266.183,355.6,9.53,60000,12.16,ERW
654.786,666.797,GW670,5.415467222,-72.30027056,266.057,355.6,9.53,60000,12.011,ERW
666.797,678.96,GW680,5.415444722,-72.30037639,266.003,355.6,9.53,60000,12.163,ERW
678.96,685.868,GW690,5.415421944,-72.30048361,266.211,355.6,9.53,60000,6.908,ERW
685.868,694.39,GW700,5.415409167,-72.30054444,266.347,355.6,9.53,60000,8.522,ERW
694.39,704.729,GW710,5.415392778,-72.30061972,266.387,355.6,9.53,60000,10.339,ERW
704.729,712.362,GW720,5.4153725,-72.30071056,266.344,355.6,9.53,60000,7.633,ERW
712.362,724.593,GW730,5.4153575,-72.3007775,266.325,355.6,9.53,60000,12.231,ERW
724.593,736.852,GW740,5.415333611,-72.30088528,266.275,355.6,9.53,60000,12.259,ERW
736.852,749.148,GW750,5.415309722,-72.30099306,266.017,355.6,9.53,60000,12.296,ERW
749.148,761.415,GW760,5.415285,-72.30110111,265.671,355.6,9.53,60000,12.267,ERW
761.415,773.702,GW770,5.415260278,-72.30120861,265.287,355.6,9.53,60000,12.287,ERW
773.702,782.918,GW780,5.415239722,-72.30131722,264.681,355.6,9.53,60000,9.216,ERW
782.918,795.224,GW790,5.415227778,-72.30139944,264.448,355.6,9.53,60000,12.306,ERW
795.224,807.533,GW800,5.415211389,-72.30150917,264.324,355.6,9.53,60000,12.309,ERW
807.533,819.713,GW810,5.415193056,-72.30161861,263.992,355.6,9.53,60000,12.18,ERW
819.713,832.028,GW820,5.415175,-72.30172667,264.008,355.6,9.53,60000,12.315,ERW
832.028,844.349,GW830,5.415156389,-72.30183611,263.574,355.6,9.53,60000,12.321,ERW
844.349,853.345,GW840,5.415138611,-72.30194556,263.781,355.6,9.53,60000,8.996,ERW
853.345,865.649,GW850,5.415126111,-72.30202528,264.611,355.6,9.53,60000,12.304,ERW
865.649,877.959,GW860,5.415108611,-72.30213444,265.526,355.6,9.53,60000,12.31,ERW
877.959,890.271,GW870,5.415090833,-72.30224361,266.249,355.6,9.53,60000,12.312,ERW
890.271,902.577,GW880,5.415073333,-72.30235306,266.894,355.6,9.53,60000,12.306,ERW
902.577,914.881,GW890,5.415055556,-72.3024625,267.395,355.6,9.53,60000,12.304,ERW
914.881,927.188,GW900,5.415037222,-72.30257167,267.591,355.6,9.53,60000,12.307,ERW
927.188,939.491,GW910,5.415018333,-72.30268111,267.71,355.6,9.53,60000,12.303,ERW
939.491,951.788,GW920,5.414999722,-72.30279028,267.81,355.6,9.53,60000,12.297,ERW
951.788,964.093,GW930,5.414981944,-72.30289972,267.986,355.6,9.53,60000,12.305,ERW
964.093,976.37,GW940,5.414964722,-72.30300917,267.827,355.6,9.53,60000,12.277,ERW
976.37,988.404,GW950,5.414947778,-72.30311833,267.48,355.6,9.53,60000,12.034,ERW
988.404,1000.579,GW960,5.414930833,-72.30322556,267.186,355.6,9.53,60000,12.175,ERW
1000.579,1012.82,GW970,5.414913333,-72.30333389,267.085,355.6,9.53,60000,12.241,ERW
1012.82,1025.099,GW980,5.414896389,-72.30344278,267.053,355.6,9.53,60000,12.279,ERW
1025.099,1037.331,GW990,5.414879444,-72.30355222,266.865,355.6,9.53,60000,12.232,ERW
1037.331,1049.346,GW1000,5.4148625,-72.30366111,266.561,355.6,9.53,60000,12.015,ERW
1049.346,1061.558,GW1010,5.414845556,-72.30376778,266.095,355.6,9.53,60000,12.212,ERW
1061.558,1073.856,GW1020,5.414828333,-72.30387639,265.564,355.6,9.53,60000,12.298,ERW
1073.856,1086.129,GW1030,5.414811111,-72.30398583,265.231,355.6,9.53,60000,12.273,ERW
1086.129,1098.407,GW1040,5.414793333,-72.304095,264.795,355.6,9.53,60000,12.278,ERW
1098.407,1110.704,GW1050,5.414776111,-72.30420417,264.404,355.6,9.53,60000,12.297,ERW
1110.704,1121.804,GW1060,5.414758889,-72.30431361,264.418,355.6,9.53,60000,11.1,ERW
1121.804,1134.072,GW1070,5.414743333,-72.3044125,264.626,355.6,9.53,60000,12.268,ERW
1134.072,1146.321,GW1080,5.414726389,-72.30452167,264.865,355.6,9.53,60000,12.249,ERW
1146.321,1158.392,GW1090,5.414708889,-72.30463056,265.129,355.6,9.53,60000,12.071,ERW
1158.392,1170.629,GW1100,5.414692222,-72.30473806,265.273,355.6,9.53,60000,12.237,ERW
1170.629,1182.823,GW1110,5.414675833,-72.30484694,265.351,355.6,9.53,60000,12.194,ERW
1182.823,1195.096,GW1120,5.414658889,-72.30495556,265.425,355.6,9.53,60000,12.273,ERW
1195.096,1207.364,GW1130,5.414641389,-72.30506472,265.408,355.6,9.53,60000,12.268,ERW
1207.364,1219.637,GW1140,5.414623611,-72.30517389,265.423,355.6,9.53,60000,12.273,ERW
1219.637,1231.828,GW1150,5.414605833,-72.30528306,265.369,355.6,9.53,60000,12.191,ERW
1231.828,1243.901,GW1160,5.414588611,-72.30539167,265.393,355.6,9.53,60000,12.073,ERW
1243.901,1256.191,GW1170,5.414571944,-72.30549917,265.522,355.6,9.53,60000,12.29,ERW
1256.191,1268.481,GW1180,5.414555278,-72.30560861,265.554,355.6,9.53,60000,12.29,ERW
1268.481,1280.732,GW1190,5.414538056,-72.30571806,265.668,355.6,9.53,60000,12.251,ERW
1280.732,1292.958,GW1200,5.414520278,-72.30582694,265.706,355.6,9.53,60000,12.226,ERW
1292.958,1305.218,GW1210,5.4145025,-72.30593556,265.646,355.6,9.53,60000,12.26,ERW
1305.218,1317.568,GW1220,5.414485,-72.30604472,265.641,355.6,9.53,60000,12.35,ERW
1317.568,1329.824,GW1230,5.414467778,-72.30615472,265.561,355.6,9.53,60000,12.256,ERW
1329.824,1341.93,GW1240,5.414451389,-72.30626389,265.286,355.6,9.53,60000,12.106,ERW
1341.93,1354.165,GW1250,5.414435278,-72.30637167,265.165,355.6,9.53,60000,12.235,ERW
1354.165,1366.334,GW1260,5.414418056,-72.30648056,264.967,355.6,9.53,60000,12.169,ERW
